原文,中译,属性,人物与另一词条相等情况,人物所属另一词条（团体）,作品所属另一词条（作者）,作品所属另一词条（专辑）（单曲或章节等情况下）,作品年份,mimida,翻译来源及注释（mimida）,Tian Tang,翻译来源及注释（Tian Tang）,redhousepainter,翻译来源及注释（redhousepainter）,Lil Bag,翻译来源及注释（Lil Bag）
Snoop Dogg,史努比狗狗,乐人,,Tha Dogg Pound,,,,史努比狗狗,,,,,这也问下其他人，国内约定俗成的是翻史努比狗还是史努比狗狗,史努比狗狗,
Nate Dogg,内特狗狗,乐人,,,,,,内特狗狗,,,,,同上,内特狗狗,
Warren G,沃伦·G,乐人,,,,,,沃伦·G,,,,,,,
《Doggy Style》,后入式,专辑,,,Snoop Dogg,,1993,后入式,,,,,,,
《Ain't No Fun》,没啥意思,歌,,,Snoop Dogg,《Doggy Style》,1993,没意思,,没意思,,,,没啥意思,
Tha Dogg Pound,狗狗帮,乐人,,,,,,狗狗圈,,,,,,狗狗帮,
Daz Dillinger,达兹·迪林杰,乐人,,Tha Dogg Pound,,,,达兹·迪林杰,,,,,,,
Kurupt,酷拉普特,乐人,,Tha Dogg Pound,,,,酷拉普特,,,,,,,
"《New York, New York》",纽约，纽约,歌,,,Tha Dogg Pound,,1995,纽约，纽约,,,,,,,
Too Short,太矮,乐人,,,,,,太矮,,,,,,,
《The Mack of the Century…Too Short's Greatest Hits》,世纪万人迷……太矮精选,专辑,,,Too Short,,2006,世纪万人迷……太矮精选,,,,,,,
DJ Quik,DJ魁克,乐人,,,,,,DJ魁克,,,,,,,
《Safe + Sound》,安然+无恙,专辑,,,DJ Quik,,1995,安然+无恙,,,,,,,
《Summer Breeze》,夏日微风,歌,,,DJ Quik,《Safe + Sound》,1995,夏日微风,,,,,,,
Capone-N-Noreaga,卡彭与诺列加,乐人,,,,,,卡彭与诺列加,,,,,,,
"《L.A., L.A.》",洛杉矶，洛杉矶,歌,,,Capone-N-Noreaga,,1996,洛杉矶，洛杉矶,,,,,,,
《I Used to Love H.E.R.》,我曾爱过她,歌,,,Common,,1994,我曾爱过她,,,,,,,
WC,WC,乐人,,,,,,WC,,,,,,,
Mack 10,麦克10,乐人,,,,,,,,,,麦克10,以前就是翻成麦克10,麦克10,
《Bow Down》,跪下,歌,,,Ice Cube,,1996,跪下,,,,,,,
Tupac/2Pac,图帕克,乐人,,,,,,图帕克,,,,,,,
Tupac Amaru Shakur,图帕克·阿马鲁·夏库尔,乐人,2Pac,,,,,图帕克·阿马鲁·夏库尔,,,,,,,
Makaveli,马卡维利,乐人,2Pac,,,,,马卡维利,,,,,,,
Digital Underground,数码地下,乐人,,,,,,数码地下,“Underground”在Tupac他们的语境下是否就是直译的意思？,数码地下,,数码地下,国内一直翻成数码地下,数码地下,
Shock G,震撼・G,乐人,,,,,,震撼・G,,震撼G,,,,震撼G,
《Juice》,哈雷兄弟,影视剧,,,,,,哈雷兄弟,,,,,,,
《All Eyez on Me》,万视瞩目,专辑,,,2Pac,,1996,万视瞩目,,,,,,万众瞩目,
《Hit 'Em Up》,干死他们,歌,,,2Pac,,1996,干死他们,,,,,,,
Biggie,大个子,乐人,Notorious B.I.G.,,,,,大个子,,,,,,,
《Who Shot Ya?》,《谁对你开的枪？》,歌,,,Notorious B.I.G.,,1994,《谁对你开的枪？》,,,,,,,
《Life After Death》,死后人生,专辑,,,Notorious B.I.G.,,1997,死后人生,,死后余生,,,,极乐世界,台译
Suge Knight,苏格·奈特,实业家,,,,,,苏格·奈特,,,,,,,
Busta Rhymes,巴斯塔·韵,乐人,,,,,,巴斯塔·韵,,,,,,,
Lil Wayne,小韦恩,乐人,,,,,,小韦恩,,,,,,,
Drake,德雷克,乐人,,,,,,德雷克,,,,,,,
Nicki Minaj,妮琪·米娜,乐人,,,,,,妮琪·米娜,,,,,,,
Sean John Combs,肖恩·约翰·康布斯,乐人,Puff Daddy,,,,,肖恩·约翰·康布斯,,,,,,,
Sean John,肖恩·约翰,乐人,Puff Daddy,,,,,肖恩·约翰,,,,,,,
Mase,梅斯,乐人,,,,,,魅斯,,,,,,梅斯,
Faith Evans,费丝·埃文斯,乐人,,,,,,费丝·埃文斯,,,,,,,
Alicia Keys,艾莉西亚·凯斯,乐人,,,,,,艾莉西亚·凯斯,,,,,,,
Swizz Beatz,史威兹·毕兹,乐人,,,,,,史威兹·毕兹,,,,,,,
Eminem,埃米纳姆,乐人,,,,,,埃米纳姆,,,,,,,
Marshall Bruce Mathers III,马绍尔·布鲁斯·马瑟斯三世,乐人,Eminem,,,,,马绍尔·布鲁斯·马瑟斯三世,,,,,,,
《The Slim Shady LP》,瘦痞子LP,专辑,,,Eminem,,1999,阴暗的瘦子LP,,,,瘦痞子LP,,微晕（台译）,
《My Name Is》,我的名字是,歌,,,Eminem,《The Slim Shady LP》,1999,我的名字是,,,,,,,
《8 Miles》,8英里,影视剧,,,Eminem,,2002,8英里,,,,,,八英里,
《Curtain Call: The Hits》,谢幕：金曲,专辑,,,Eminem,,2005,谢幕：金曲,,,,,,,
《Shake That》,摇起来,歌,,,Eminem,《Curtain Call: The Hits》,2005,摇起来,,可以,,,,,
《When I'm Gone》,当我离去,歌,,,Eminem,《Curtain Call: The Hits》,2005,当我离去,,,,,,,
50 Cent,50分,乐人,G-Unit,,,,,50分,,,,,,,
《Get Rich or Die Tryin’》,要钱不要命,专辑,,,50 Cent,,2003,要钱不要命,,可以吧,,,,,
《In Da Club》,在夜店,歌,,,50 Cent,《Get Rich or Die Tryin’》,2003,在夜店,,,,,,,
G-Unit,游击队,乐人,,,,,,游击队,,G-小队,,,,G兵团,
Lloyd Banks,罗伊德·班克斯,乐人,G-Unit,,,,,罗伊德·班克斯,,,,,,洛伊·班克斯,
Tony Yayo,托尼·亚尤,乐人,G-Unit,,,,,托尼·亚尤,,,,,,托尼·亚佑,
Young Buck,扬·巴克,乐人,G-Unit,,,,,扬·巴克,,,,,,,
The Federation,联盟,乐人,,,,,,联盟,,,,,,,
《18 Dummy》,喝到懵,歌,,,The Federation,,2007,喝到懵,,18醉汉,,,,,
DJ Shadow,DJ影子,乐人,,,,,,DJ影子,,,,,,,
《Endtroducing.....》,完介,专辑,,,DJ Shadow,,1996,完介,,最后的介绍,出处：链接,终点&引入,这个要加注释，也没法翻译，是个复合词，跟编辑商量一下吧，如果只求意思准确的话那就是：终点&引入。Shadow在采访里说过：这是end+introducing，为什么用end这个词？因为当时专辑制作完成后，他就意识到这种纯采样的音乐作品已经被自己玩到头了，穷尽了。以后不会再创作类似手法的作品。,,
《Kill That Noise》,扑灭杂音,歌,,,MC Shan,,1987,扑灭杂音,,,,,,,
《The Bridge Is Over》,桥完蛋了,歌,,,Boogie Down Productions,,1987,桥完蛋了,,,,,,皇后桥完蛋了,
《P.M. Is Over》,黑色黎明完蛋了,歌,,,Boogie Down Productions,,1988,黑色黎明完蛋了,,,,,,,
《Have A Nice Day》,慢走不送,歌,,,Roxanne Shante,,1987,慢走,,,,,,慢走不送,
Mr. Magic,魔力先生,乐人,,,,,,魔力先生,,,,,,,
DJ Red Alert,DJ红色警戒,乐人,,,,,,DJ红色警戒,,,,,,,
《Jack the Ripper》,开膛手杰克,歌,,,L L Cool J,,1987,开膛手杰克,,,,,,,
《Let's Go》,放马过来,歌,,,Kool Moe Dee,,1987,尽管上,,放马过来,,,,放马过来,
P.M. Dawn,黑色黎明,乐人,,,,,,黑色黎明,,,,,,,
Prince Be,王子・必,乐人,,P.M. Dawn,,,,王子・必,,,,,,,
Ms. Melodie,旋律小姐,乐人,,,,,,旋律小姐,,,,,,,
Canibus,坎尼比斯,乐人,,,,,,坎尼巴斯,,,,,,坎尼比斯,
"《4, 3, 2, 1》","4, 3, 2, 1",歌,,,L L Cool J,,1997,"4, 3, 2, 1",,,,,,,
Redman,红人,乐人,,,,,,红人,,,,,,,
《Second Round K.O.》,第二回合击倒,歌,,,Canibus,,1998,第二回合击倒,,,,,,,
《Dead Presidents II》,钞票II,歌,,,Jay-Z,,1996,钞票II,,,,,,,
《The World Is Yours》,这世界属于你,歌,,,Nas,,1994,这世界属于你,,,,,,,
《Takeover》,接管,歌,,,Jay-Z,,2001,接管,,,,,,,
《Ether》,乙醚,歌,,,Nas,《Stillmastic》,2001,乙醚,,,,,,,
《Stillmastic》,仍旧无敌,专辑,,,Nas,,2001,仍旧无敌,延续Illmatic的难题，天生无敌,天赋依旧,"- 推测：Illmatic = automatic  ill. Stillmatic = still automatic ill.
ILLMATIC 可否是 天赋异禀 
STILLMATIC 天赋依旧",,如果illmatic翻译成吊炸天，那这个退一万步就翻成：一吊再吊。。。。。。,本位主义,台译
Benzino,本基诺,乐人,,,,,,本奇诺,,,,,,本基诺,
Ja Rule,杰·鲁,乐人,,,,,,杰·鲁,,,,,,,
Jadakiss,贾达基斯,乐人,,,,,,贾达基斯,,,,,,,
Cam'ron,卡姆隆,乐人,,,,,,卡姆隆,,,,,,,
Rick Ross,里克·罗斯,乐人,,,,,,瑞克·罗斯,,,,,,里克·罗斯,
Soulja Boy,魂兵小子,乐人,,,,,,魂兵小子,台译：酱爆弟弟,灵魂兵弟,,,,,
Crank That,就这么跳,歌,,,Soulja Boy,,2007,就这么跳,台译：就酱跳,,,,,,
The Pharcyde,法赛德,乐人,,,,,,法赛德,,,,,就音译吧，按照far side翻也不好翻,法赛德,
《Labcabincalifornia》,加州实验室小屋,专辑,,,The Pharcyde,,1995,加州实验室小屋,,,,,,,
《Drop》,投下,歌,,,The Pharcyde,《Labcabincalifornia》,1995,投下,,,,,,,
Jrassic 5,侏罗纪5,乐人,,,,,,侏罗纪5,,,,,jurassic 5，直译ok,,
Lil Rob,小罗布,乐人,,,,,,小罗布,,,,,,,
"《Twelve Eighteen, Pt. 1》",12 18，第一部,专辑,,,Lil Rob,,2005,12 18，第一部,,,,,,,
《Summer Nights》,夏夜,歌,,,Lil Rob,"《Twelve Eighteen, Pt. 1》",2005,夏夜,,,,,,,
B-Real,B-瑞尔,乐人,,Cypress Hill,,,,B-本色,B-真我？B-里尔？,B真,,,,B-瑞尔,
Sen Dog,森狗,乐人,,Cypress Hill,,,,森狗,,,,,,,
DJ Muggs,DJ马格斯,乐人,,Cypress Hill,,,,DJ马格斯,,,,,,,
Eric Bobo,艾瑞克·波波,乐人,,Cypress Hill,,,,艾瑞克·波波,,,,,,,
《Black Sunday》,黑色星期日,专辑,,,Cypress Hill,,1993,黑色星期日,,,,,,,
《Insane in the Brain》,脑狂乱,歌,,,Cypress Hill,《Black Sunday》,1993,脑狂乱,,,,,,,
Akwid,阿奎德,乐人,,,,,,阿奎德,,,,,,,
Gómez Brothers,戈麦斯兄弟,乐人,,Akwid,,,,戈麦斯兄弟,,,,,,,
《La Novela》,小说,专辑,,,Akwid,,2007,小说,,,,,,,
Pitbull,斗牛梗,乐人,,,,,,斗牛梗,,,,,,,
2 Live Crew,快活帮,乐人,,,,,,,,,,,这个翻译一直有异议，如果2就是两个的意思，有直翻成：两组现场人员。如果2是too的意思，也有意译成：鲜活组合。这个到底是什么意思，估计要问hardcore了。。。。。,快活帮,台译
Luke,卢克,乐人,,2 Live Crew,,,,卢克,不需要加上星战什么的吧？,,,,,,
Lil Jon,小乔恩,乐人,,2 Live Crew,,,,小乔恩,,,,,,,
Flo Rida,佛罗·里达,乐人,,,,,,佛罗·里达,,佛流 里达,,,,,
《Low》,向下,歌,,,Flo Rida,,2007,向下,,低,,,,,
Joseph Antonio Cartagena,乔瑟夫·安东尼奥·卡塔赫纳,乐人,Fat Joe,,,,,乔瑟夫·安东尼奥·卡塔赫纳,,,,,,,
D.I.T.C.,D.I.T.C.,乐人,,,,,,D.I.T.C.,,,,,,,
The Beatnuts,节奏鬼才,乐人,,,,,,,,节奏坚果,,,以前有翻译：节奏杀手,节奏鬼才,
JuJu,朱朱,乐人,,The Beatnuts,,,,朱朱,,,,,这就音译吧,,
Psycho Les,精神病列斯,乐人,,The Beatnuts,,,,精神病列斯,,神经莱斯,,,这也音译吧。。。,神经病列斯,
"Victor Santiago, Jr.",维克多·圣蒂亚哥二世（,乐人,N.O.R.E,,,,,维克多·圣蒂亚哥二世（,,,,,,,
Afrika Islam,非洲王伊斯兰,乐人,,,,,,非洲王伊斯兰,如果班巴塔翻译成“非洲王”的话，那伊斯兰要翻什么？师徒二人不能都是王吧？有王的传承性？还是两个人都音译？或者译法不统一？,,,,,,
Compton's Most Wanted,康普顿头号通缉犯,乐人,,,,,,康普顿头号通缉犯,,,,,,,
《When We Wuz Bangin' 1989–1999: The Hitz》,我们当年超拉风：1989-1999精选集,专辑,,,Compton's Most Wanted,,2001,我们当年超拉风：1989-1999精选集,,,,,,精选集1989-1999,
《Growin' Up in the Hood》,长于街区,歌,,,Compton's Most Wanted,,1991,长于街区,,,,,,,
Sir Jinx,金克斯爵士,乐人,,,,,,厄运先生,,,,,,金克斯爵士,
DJ Pooh,DJ普,乐人,,,,,,DJ呸,,,,,,DJ普,
Souls of Mischief,顽皮灵魂,乐人,,,,,,淘气灵魂,,,,顽皮灵魂,,顽皮灵魂,
《93 'til Infinity》,93年直到永远,专辑,,,Souls of Mischief,,1993,93年直到永远,,,,,,,
Del the Funky Homosapien,放克智人戴尔,乐人,,,,,,放克智人戴尔,,,,处理放克乐的智者,这个我问了下朋友，这个中文翻译一直有异议，del到底是delvon名字的缩写还是处理的意思？因此有另一个中文名叫：处理放克乐的智者,放克智人德尔,
Hieroglyphics,象形文字,乐人,,,,,,象形文字,,,,,,,
J Dilla,J·迪拉,乐人,,,,,,J·迪拉,,,,,,,
Yesterdays New Quintet,昔日的新五重奏,乐人,,,,,,昔日的新五重奏,,,,,,,
《Angles without Edges》,无棱之角,专辑,,,Yesterdays New Quintet,,2001,无棱之角,,,,,,,
Madlib,马德利布,乐人,,,,,,马德里布,麦德里布？,马德里布,不过其实，这个madlib是指 那种填空的游戏。 一张纸上，给你一些文字，以及空格。在80年代很流行。,马德里布,马德里布反而更好一点，中文里大家对马德里更熟悉,马德利布,马德里三个字出来太干扰阅读了
Just Blaze,贾斯特·布雷兹,乐人,,,,,,贾斯特·布雷兹,,,,,,贾斯·布雷兹,
Timbaland,提姆巴兰,乐人,,,,,,提姆巴兰,,,,,,,
Cool & Dre,酷 & 德瑞,乐人,,,,,,酷 & 德瑞,,,,,,,
《Westside Story》,西岸故事,歌,,,Game,,2005,西岸故事,,,,,,,
E-40,E-40,乐人,,,,,,E-40,,,,,,,
《My Ghetto Report Card》,我的贫民区成绩单,专辑,,,E-40,,,我的贫民区成绩单,,,,,,,
Keak da Sneak,潜行基克,乐人,,,,,,,,潜行奇克,,,,潜行基克,
Flying Lotus,飞莲,乐人,,,,,,飞莲,,,,,,,
《Los Angeles》,洛杉矶,专辑,,,Flying Lotus,,2008,洛杉矶,,,,,,,
XTC,-,乐人,,,,,,-,,,,,,,
《Skylarking》,嬉戏,专辑,,,XTC,,1986,嬉戏,,,,,,,
Todd Rundgren,托德·朗德格伦,乐人,,,,,,托德·朗德格伦,,,,,,,
《Raising Hell》,冲出地狱,专辑,,,Run-DMC,,1986,冲出地狱,,,,冲出地狱,国内好像一直是这么翻,大闹天宫,其实我觉得意译跟中文最符合的是“大闹天宫”
Isaac Hayes,艾萨克·海耶斯,乐人,,,,,,艾萨克·海耶斯,,,,,,,
Curtis Mayfield,柯蒂斯·梅菲尔德,乐人,,,,,,柯蒂斯·梅菲尔德,,,,,,,
The Beach Boys,海滩男孩,乐人,,,,,,海滩男孩,,,,,,,
Dennis Wilson,丹尼斯·威尔森,乐人,,The Beach Boys,,,,丹尼斯·威尔森,,,,,,,
ジェロ/JERO,杰洛,乐人,,,,,,杰洛,,,,,,,
REM,-,乐人,,,,,,-,,,,,,,
《Out of Time》,落伍,专辑,,,REM,,1991,落伍,,,,,,,
Michael Stipe,迈克尔·斯戴普,乐人,,REM,,,,迈克尔·斯戴普,,,,,,,
Deep Purple,深紫,乐人,,,,,,深紫,,,,,,,
Black Sabbath,黑色安息日,乐人,,,,,,黑色安息日,,,,,,,
《Mothership Connection》,母舰联结,歌,,,Parliament,,1975,母舰联结,,可以,,,ok,,
Donny Hathaway,唐尼·海瑟威,乐人,,,,,,唐尼·海瑟威,,,,,,,
《Little Ghetto Boy》,贫民区小男孩,歌,,,Donny Hathaway,,1972,贫民区小男孩,,,,,,,
《The Ghetto》,贫民区,歌,,,Donny Hathaway,,1969,贫民区,,,,,,,
Jermaine Jackson,杰梅因·杰克逊,乐人,,,,,,杰梅因·杰克逊,,,,,,,
《You Like Me Don't You》,你喜欢我是吧,歌,,,Jermaine Jackson,,1981,你喜欢我是吧,,,,,,,
オメガトライブ/Omega Tribe,欧米茄一族,乐人,,,,,,欧米茄一族,,,,,,,
杉山清貴,杉山清贵,乐人,,,,,,杉山清贵,,,,,,,
カルロス・トシキ,卡洛斯·敏树,乐人,,,,,,卡洛斯·敏树,,,,,,,
Mtume,埃姆图美,乐人,,,,,,埃姆图美,,,,埃姆图美,这无所谓，随便怎么音译，不会有人留意老迈的打击乐手怎么翻,埃姆图美,红房太冷酷了哈哈哈
James Mtume,詹姆斯·埃姆图美,乐人,,,,,,詹姆斯·埃姆图美,,,,,,,
《Juicy Fruits》,多汁果,歌,,,Mtume,,1983,多汁果,,,,,,,
ET-KING,ET-KING,乐人,,,,,,ET-KING,,,,,,,
いときん,Itokin,乐人,,ET-KING,,,,Itokin,,,,,,,
三木道三,三木道三,乐人,,,,,,三木道三,,,,,,,
《Lifetime Respect》,Lifetime Respect,歌,,,三木道三,,2001,Lifetime Respect,,,,,,,
The Isley Brothers,艾斯里兄弟,乐人,,,,,,艾斯里兄弟,,,,,,,
《Footsteps in the Dark》,幽幽脚步声,歌,,,The Isley Brothers,,1977,幽幽脚步声,,悠悠脚步声,,,,,
《For the Love of You》,为了你的爱,歌,,,The Isley Brothers,,1975,为了你的爱,,,,,,,
《Between the Sheets》,床笫之间,歌,,,The Isley Brothers,,1983,床笫之间,,,,,,,
U2,U2,乐人,,,,,,U2,,,,,,,
Tom Petty,汤姆·佩蒂,乐人,,,,,,汤姆·佩蒂,,,,,,,
Jimmy Iovine,吉米·艾奥文,实业家,,,,,,吉米·艾奥文,,,,,,,
The Time,时间,乐人,,,,,,时间,,,,,,,
Morris Day,莫里斯·戴,乐人,,The Time,,,,莫里斯·戴,,,,,,,
Tortoise,乌龟,乐人,,,,,,乌龟,,,,,,,
《Gaucho》,高卓人,专辑,,,Steely Dan,,1980,高卓人,,,,,,,
Fania All-Stars,法尼雅全明星,乐人,,,,,,法尼雅全明星,,,,,,,
"《""Live"" at the Cheetah》",猎豹俱乐部“现场”,专辑,,,Fania All-Stars,,1971,猎豹俱乐部“现场”,,,,,,,
Ray Barretto,雷·巴雷托,乐人,,,,,,雷·巴雷托,,,,,,,
Tito Puente,提托‧普安提,乐人,,,,,,提托‧普安提,,,,,,,
Eddie Palmieri,埃迪·帕尔米耶里,乐人,,,,,,埃迪·帕尔米耶里,,,,,,,
Freddie Hubbard,弗莱迪·哈伯特,乐人,,,,,,弗莱迪·哈伯特,,,,,,,
Billy Cobham,比利·考伯汉姆,乐人,,,,,,比利·考伯汉姆,,,,,,,
Ramsey Lewis,拉姆齐·刘易斯,乐人,,,,,,拉姆齐·刘易斯,,,,,,,
《Sun Goddess》,太阳女神,歌,,,Ramsey Lewis,,1974,太阳女神,,,,,,,
Alice Coltrane,爱丽丝·柯川,乐人,,,,,,爱丽丝·柯川,,,,,,,
《New Jack City》,万恶城市,影视剧,,,,,1991,万恶城市,,,,,,罪恶之都,
《Law & Order: Special Victims Unit》,法律与秩序：特殊受害者,影视剧,,,,,2000,法律与秩序：特殊受害者,,,,,,,
Raymond Washington,雷蒙德·华盛顿,影人,,,,,,雷蒙德·华盛顿,,,,,,,
Stanley Williams,斯坦利·威廉姆斯,影人,,,,,,斯坦利·威廉姆斯,,,,,,,
《Redemption: The Stan Tookie Williams Story》,救赎：斯坦・托奇・威廉姆斯的故事,影视剧,,,,,2004,救赎：斯坦・托奇・威廉姆斯的故事,,,,,,,
Jamie Foxx,杰米·福克斯,影人,,,,,,杰米·福克斯,,,,,,,
辰巳ヨシヒロ,辰巳嘉裕,漫画家,,,,,,辰巳嘉裕,,,,,,,
白土三平,白土三平,漫画家,,,,,,白土三平,,,,,,,
さいとうたかを,齐藤隆夫,漫画家,,,,,,齐藤隆夫,,,,,,,
Al Capone,阿尔·卡彭,影人,,,,,,阿尔·卡彭,,,,,,,
John Dillinger,约翰·迪林杰,影人,,,,,,约翰·迪林杰,,,,,,,
Iceberg Slim,瘦冰山,作家,,,,,,瘦冰山,,,,,,,
《Pimp》,皮条客,书,,,Iceberg Slim,,1967,皮条客,,,,,,,
Melvin Van Peebles,梅尔文·范·皮布尔斯,影人,,,,,,梅尔文·范·皮布尔斯,,,,,,,
《Sweet Sweetback's Baadasssss Song》,甜蜜的斯维特拜克炫酷之歌,影视剧,,,Melvin Van Peebles,,1971,甜蜜的斯维特拜克炫酷之歌,Sweetback是否有必要意译？Bassdasssss暂时译成了“炫酷”，有没有其他比较好的建议？,baddass 可以翻译成 帅痞,,,,,
《Shaft》,神探夏福特,影视剧,,,,,1971,神探夏福特,,,,,,,
《Superfly》,超酷,影视剧,,,,,1972,超酷,“超飞”是误译无疑，“超级苍蝇”也不对,超酷,,超酷,ok，fly在黑人俚语里就相当于酷，聪明，打扮时髦的意思，翻成超酷ok,,
Brian De Palma,布莱恩·德·帕尔马,影人,,,,,,布莱恩·德·帕尔马,,,,,,,
《Scarface》,疤面煞星,影视剧,,,Brian De Palma,,1983,疤面煞星,,,,,,,
《Boyz n the Hood》,街区男孩,影视剧,,,,,1991,街区男孩,,,,,,,
西田敏行,-,影人,,,,,,-,,,,,,,
Edward Soja,爱德华·苏贾,学者,,,,,,爱德华·苏贾,,,,,,,
《Postmodern Geographies》,后现代地理学,书,,,Edward Soja,,1989,后现代地理学,,,,,,,
Mike Davis,迈克·戴维斯,学者,,,,,,迈克·戴维斯,,,,,,,
《City of Quartz》,水晶之城,书,,,Mike Davis,,1990,水晶之城,,,,,,,
