原文,中译,属性,人物与另一词条相等情况,人物所属另一词条（团体）,作品所属另一词条（作者）,作品所属另一词条（专辑）（单曲或章节等情况下）,作品年份,mimida,翻译来源及注释（mimida）,Tian Tang,翻译来源及注释（Tian Tang）,redhousepainter,翻译来源及注释（redhousepainter）,Lil Bag,翻译来源及注释（Lil Bag）
Led Zeppelin,齐柏林飞艇,乐人,,,,,,齐柏林飞艇,,,,,,,
Robert Plant,罗伯特·普兰特,乐人,,"Led Zeppelin, The Honey Drippers",,,,罗伯特·普兰特,,,,,,,
Incredible Bongo Band,非凡的邦哥乐队,乐人,,,,,,非凡的邦哥乐队,,,,,,,
Michael Viner,迈克尔·维纳,乐人,,,,,,迈克尔·维纳,,,,,,,
Jim Gordon,吉姆·哥顿,乐人,,,,,,吉姆·哥顿,,,,,,,
Afrika Bambaataa,非洲王班巴塔,乐人,,,,,,阿弗利卡·班巴塔,,,,非洲王班巴塔,,,
Afrika Bambaataa & the Soulsonic Force,非洲王班巴塔与灵魂超音力,乐人,,Afrika Bambaataa & the Soulsonic Force,,,,,,,,非洲王班巴塔与灵魂超音力,直接音译也行，国内之前有的翻译叫：非洲王班巴塔与灵魂超音力,,红房说的好
Aerosmith,空中铁匠,乐人,,,,,,空中铁匠,,,,,,,
Mountain,山峦,乐人,,,,,,山峦,,,,,,,
Steve Miller Band,史蒂夫·米勒乐队,乐人,,,,,,史蒂夫·米勒乐队,,,,,,,
Paul McCartney,保罗·麦卡特尼,乐人,,The Beatles,,,,保罗·麦卡特尼,,,,,,,
The Monkees,顽童,乐人,,,,,,顽童,,,,,,,
Neil Young,尼尔·扬,乐人,,Buffalo Springfield,,,,尼尔·扬,,,,,,,
Stephen Stills,斯蒂芬·斯蒂尔斯,乐人,,Buffalo Springfield,,,,斯蒂芬·斯蒂尔斯,,,,,,,
Buffalo Springfield,水牛春田,乐人,,,,,,水牛春田,,,,,,,
Public Enemy,全民公敌,乐人,,,,,,全民公敌,,,,,,,
Cypress Hill,柏树山,乐人,,,,,,,,,,柏树山,国内一直是这么翻,,
Grand Wizard Theodore,大巫师西奥多,乐人,,Fantastic Freaks,,,,大巫师西奥多,,,,,,西奥多大巫师,
Fantastic Freaks,怪杰,乐人,,,,,,奇妙怪胎,,怪杰,,,,,
Grandmaster Flash,闪耀大师,乐人,,Grandmaster Flash and the Furious Five,,,,闪耀大师,,,,闪电大师,,闪手大师,以前经常见到的直译“闪手大师”
Grandmaster Flash and the Furious Five,闪耀大师与愤怒五人组,乐人,,,,,,闪耀大师与愤怒五人组,,,,,,,
Cowboy,牛仔,乐人,,Grandmaster Flash and the Furious Five,,,,牛仔,,,,,,,
Coke La Rock,科克·拉·洛克,乐人,,,,,,科克·拉·洛克,,,,,,,
T La Rock,T·拉·洛克,乐人,,,,,,T·拉·洛克,,,,,,,
Scott La Rock,斯科特·拉·洛克,乐人,,,,,,斯科特·拉·洛克,,,,,,,
DJ Hollywood,DJ好莱坞,乐人,,,,,,DJ好莱坞,,,,,,,
Salif Keïta,萨利夫·凯塔,乐人,,,,,,萨利夫·凯塔,,,,,,,
The Last Poets,最后的诗人,乐人,,,,,,最后的诗人,,,,,,,
Jalal,贾拉尔,乐人,,The Last Poets,,,,贾拉尔,,,,,,,
Lightnin' Rod,避雷针,乐人,Jalal,,,,,避雷针,,,,,,,
Gil Scott-Heron,吉尔·斯科特-海隆,乐人,,,,,,吉尔·斯科特-海隆,,,,,,,
Schoolly D,斯酷利·D,乐人,,,,,,斯酷利·D,,,,,,,
Kraftwerk,发电站,乐人,,,,,,发电站,,,,,,,
Sylvia Robinson,西尔维娅·罗宾森,乐人,,,,,,西尔维娅·罗宾森,,,,,,,
Mickey & Sylvia,米奇与西尔维亚,乐人,,,,,,米奇与西尔维亚,,,,,,,
Hugo & Luigi,雨果和路易吉,乐人,,,,,,雨果和路易吉,,,,,,,
Jimmie Rodgers,吉米·罗杰斯,乐人,,,,,,吉米·罗杰斯,,,,,,,
Tommy James and the Shondells,汤米·詹姆斯与商黛尔一家,乐人,,,,,,汤米·詹姆斯与商黛尔一家,,,,,,,
The Moments,时刻合唱团,乐人,,,,,,时刻合唱团,,,,,,,
Cold Crush Brothers,冷碎兄弟,乐人,,,,,,冷碎兄弟,,,,,,,
Grandmaster Caz,卡兹大师,乐人,,Cold Crush Brothers,,,,卡兹大师,,,,,,,
The Sugarhill Gang,糖山帮,乐人,,,,,,糖山帮,,,,,,,
Chic,时髦,乐人,,,,,,时髦,,,,,,,
Nile Rodgers,尼尔·罗杰斯,乐人,,Chic,,,,尼尔·罗杰斯,,,,,,,
Fatback Band,背膘乐队,乐人,,,,,,背膘乐队,,,,,,,
Blondie,金发美女,乐人,,,,,,金发美女,,,,,,,
Debbie Harry,黛比·哈利,乐人,,Blondie,,,,黛比·哈利,,,,,,,
Chris Stein,克里斯·斯坦,乐人,,Blondie,,,,克里斯·斯坦,,,,,,,
Madonna,麦当娜,乐人,,,,,,麦当娜,,,,,,,
Fabulous 5,五绝,涂鸦团体,,,,,,五绝,The Beatles = Fab 4（四尖子/四绝）,,,,,,
Fab 5 Freddy,五绝·弗莱迪,艺术家,,Fabulous 5,,,,五绝·弗莱迪,,,,,,,
Tom Tom Club,汤汤俱乐部,乐人,,,,,,汤汤俱乐部,,,,,,,
The Clash,冲撞,乐人,,,,,,冲撞,,,,,,,
Futura 2000,福图拉2000,乐人,,,,,,福图拉2000,,,,,,,
Arthur Russell,亚瑟·拉塞尔,实业家,,,,,,亚瑟·拉塞尔,,亚瑟·罗素,,,,,
Glenn Branca,格林·布兰卡,乐人,,,,,,格林·布兰卡,,,,,,,
Terry Tolkin,泰瑞·托尔金,实业家,,,,,,泰瑞·托尔金,,,,,,,
Luna,月亮,乐人,,,,,,月亮,,,,,,,
Stereolab,立体声实验室,乐人,,,,,,立体声实验室,,,,,,,
Rammellzee,拉麦齐,乐人,,,,,,拉麦齐,,,,,,,
K-Rob,K-罗布,乐人,,,,,,K-罗布,,,,,,,
スネークマンショー,蛇人秀,乐人,,,,,,蛇人秀,,,,,,,
小林克也,小林克也,乐人,,スネークマンショー,,,,小林克也,,,,,,,
伊武雅刀,伊武雅刀,乐人,,スネークマンショー,,,,伊武雅刀,,,,,,,
YMO,黄色魔术乐团,乐人,Yellow Magic Orchestra,,,,,黄色魔术乐团,,,,,,,
細野晴臣,细野晴臣,乐人,,YMO,,,,细野晴臣,,,,,,,
坂本龍一,坂本龙一,乐人,,YMO,,,,坂本龙一,,,,,,,
高橋幸宏,高桥幸宏,乐人,,YMO,,,,高桥幸宏,,,,,,,
山田邦子,山田邦子,乐人,,,,,,山田邦子,,,,,,,
スペクトラム,频谱,乐人,,,,,,频谱,,,,,,,
渡辺直樹,渡辺直树,乐人,,スペクトラム,,,,渡辺直树,,,,,,,
新田一郎,新田一郎,乐人,,スペクトラム,,,,新田一郎,,,,,,,
吉幾三,吉几三,乐人,,,,,,吉几三,,,,,,,
Kurtis Blow,柯蒂斯·布洛,乐人,,,,,,柯蒂斯·布洛,,,,,,,
Kurtis Walker,柯蒂斯·沃克,乐人,Kurtis Blow,,,,,柯蒂斯·沃克,,,,,,,
The Fat Boys,肥仔团,乐人,,,,,,肥仔团,,,,,,,
Russell Simmons,拉塞尔·西蒙斯,乐人,,,,,,拉塞尔·西蒙斯,,,,,,,
Tom Silverman,汤姆·希维尔曼,实业家,,,,,,汤姆·希维尔曼,,,,,,,
Coolio,酷利奥,乐人,,,,,,酷利奥,,,,胡里奥,国内以前也有翻：胡里奥,,
Noreaga,诺列加,乐人,,,,,,,诺瑞加,,,,,诺列加,
Stevie Wonder,史蒂夫·旺达,乐人,,,,,,史蒂夫·旺达,,,,,,,
Kraftwerk,发电站,乐人,,,,,,发电站,,,,,,,
Newcleus,核新,乐人,,,,,,核新,,,,,,,
The Chipmunks,花栗鼠三重唱,乐人,,,,,,花栗鼠三重唱,,,,,,,
Ross Bagdasarian,罗斯·巴格达萨里安,乐人,The Chipmunks,,,,,罗斯·巴格达萨里安,,,,,,,
Perfume,电音香水,乐人,,,,,,电音香水,,,,,,,
中田ヤスタカ,中田康贵,乐人,,,,,,中田康贵,,,,,,,
Trevor Horn,特雷弗·霍恩,乐人,,The Buggles,,,,特雷弗·霍恩,,,,,,,
The Buggles,巴格斯,乐人,,,,,,巴格斯,,,,,,,
Yes,是,乐人,,,,,,是,,,,,,,
Frankie Goes to Hollywood,弗兰基去好莱坞,乐人,,,,,,弗兰基去好莱坞,,,,,,,
Art of Noise,噪音艺术,乐人,,,,,,噪音艺术,,,,,,,
Malcolm McLaren,马尔科姆·麦克拉伦,乐人,,,,,,马尔科姆·麦克拉伦,,,,,,,
Herbie Hancock,赫比·汉考克,乐人,,,,,,赫比·汉考克,,,,,,,
Arthur Baker,亚瑟·贝克,乐人,,,,,,亚瑟·贝克,,,,,,,
John Robie,约翰·罗比,乐人,,,,,,约翰·罗比,,,,,,,
New Order,新秩序,乐人,,,,,,新秩序,,,,,,,
Joy Division,快乐小分队,乐人,,,,,,快乐小分队,,,,,,,
Hall & Oates,霍尔和奥兹,乐人,,,,,,霍尔和奥兹,,,,,,,
Cyndi Lauper,辛迪·劳帕,乐人,,,,,,辛迪·劳帕,,,,,,,
Bruce Springsteen,布鲁斯·斯普林斯汀,乐人,,,,,,布鲁斯·斯普林斯汀,,,,,,,
Jellybean,果冻豆,乐人,,,,,,果冻豆,,软糖,所有橡皮质感的软糖都叫Jelly bean，旺仔QQ糖那种,,,,
Irene Cara,艾琳·卡拉,乐人,,,,,,艾琳·卡拉,,,,,,,
Whitney Houston,惠特尼·休斯顿,乐人,,,,,,惠特尼·休斯顿,,,,,,,
Latin Rascals,拉丁流氓,乐人,,,,,,拉丁流氓,,拉丁混账,,,,,
Juan Atkins,胡安·阿特金斯,乐人,,Cybotron,,,,胡安·阿特金斯,,,,,,,
Derrick May,德里克·梅,乐人,,Cybotron,,,,德里克·梅,,,,,,,
Cybotron,电子人装置,乐人,,,,,,电子人装置,,,,,,,
Jeff Mills,杰夫·米尔斯,乐人,,Underground Resistance,,,,杰夫·米尔斯,,,,,,,
"""Mad"" Mike Banks",“疯子”麦克·班克斯,乐人,,Underground Resistance,,,,“疯子”麦克·班克斯,,,,,,,
Underground Resistance,地下抵抗,乐人,,,,,,地下抵抗,,,,,,,
WestBam,威斯特巴姆,乐人,,,,,,威斯特巴姆,,,,,,,
David Mancuso,大卫·曼丘索,乐人,,,,,,大卫·曼丘索,,,,,,,
Larry Levan,拉里·莱文,乐人,,,,,,拉里·莱文,,,,,,,
Walter Gibbons,沃尔特·吉本斯,乐人,,,,,,沃尔特·吉本斯,,,,,,,
Double Exposure,双重曝光,乐人,,,,,,双重曝光,,,,,,,
Frankie Knuckles,弗兰奇·纳寇斯,乐人,,,,,,弗兰奇·纳寇斯,,,,,,,
Bette Midler,贝蒂·米勒,乐人,,,,,,贝蒂·米勒,,,,,,,
Peter Allen,彼得·艾伦,乐人,,,,,,彼得·艾伦,,,,,,,
Sun Ra Arkestra,桑·拉大乐团,乐人,,,,,,桑·拉大乐团,,,,,,,
"Earth, Wind & Fire",地风火,乐人,,,,,,地风火,,,,,,,
Lonnie Liston Smith,隆尼·李斯顿·史密斯,乐人,,,,,,隆尼·李斯顿·史密斯,,,,,,,
DJ Spooky,DJ幽灵,乐人,,,,,,DJ幽灵,,,,,,,
Flying Lotus,飞莲,乐人,,,,,,飞莲,,,,,,,
Kool & The Gang,酷帮,乐人,,,,,,酷帮,,,,,,,
Spoonie Gee,斯普尼·基,乐人,,,,,,斯普尼·基,,,,,,,
West Street Mob,西街暴徒,乐人,,,,,,西街暴徒,,,,,,,
The Sequence,序列,乐人,,,,,,次序,,序列,在音乐、包括电影，我所知道的sequennce是一个专业名词，有别于order。因为Order更像是这东西的天然属性，而sequence是一种particular order，比如做一段音乐，剪辑一段影片，这个人为决定的次序，被称之为sequence。,,,,
The Treacherous Three,反叛三人组,乐人,,,,,,反叛三人组,,三骗徒,,,,,
The Fearless Four,无畏四人组,乐人,,,,,,无畏四人组,,四无畏,,,,,
Queen Latifah,拉蒂法女皇,乐人,,,,,,拉蒂法女皇,,,,,,,
Peter Barakan,彼得·巴拉坎,作家,,,,,,彼得·巴拉坎,,,,,,,
Louis Farrakhan,路易斯·法拉罕,政治家,,,,,,路易斯·法拉罕,,,,,,,
Malcolm X,马尔科姆·X,政治家,,,,,,马尔科姆·X,,,,,,,
Colin Powell,科林·鲍威尔,政治家,,,,,,科林·鲍威尔,,,,,,,
Gerald Ford,杰拉尔德·福特,政治家,,,,,,杰拉尔德·福特,,,,,,,
Richard Nixon,理查德·尼克松,政治家,,,,,,理查德·尼克松,,,,,,,
ジャイアン,胖虎,角色,,,,,,胖虎,,,,,,,
Thomas Kuhn ,托马斯·库恩,学者,,,,,,托马斯·库恩,,,,,,,
吉田聡,吉田聪,漫画家,,,,,,吉田聪,,,,,,,
Wayans Brothers,韦恩斯兄弟,影人,,,,,,韦恩斯兄弟,,,,,,,
"Henry Louis Gates, Jr.",小亨利·路易斯·盖茨,学者,,,,,,小亨利·路易斯·盖茨,,,,,,,
Michel Foucault,米歇尔·福柯,学者,,,,,,米歇尔·福柯,,,,,,,
Jacques Derrida,雅克·德里达,学者,,,,,,雅克·德里达,,,,,,,
Jacques Lacan,雅克·拉康,学者,,,,,,雅克·拉康,,,,,,,
Roger D. Abrahams,罗杰·D·亚伯拉罕,学者,,,,,,罗杰·D·亚伯拉罕,,,,,,,
タモリ,塔摩利,艺人,,,,,,塔摩利,,,,,,,
Adrian Lyne,阿德里安·莱恩,影人,,,,,,阿德里安·莱恩,,,,,,,
Jennifer Beals,詹妮弗·比尔斯,影人,,,,,,詹妮弗·比尔斯,,,,,,,
NINETY-NINE,NINETY-NINE,艺人,,,,,,NINETY-NINE,,,,,,,
冈村隆史,冈村隆史,艺人,,NINETY-NINE,,,,冈村隆史,,,,,,,
Jonathan Lethem,乔纳森·勒瑟姆,作家,,,,,,乔纳森·勒瑟姆,,,,,,,
Ed Koch,郭德华,政治家,,,,,,郭德华,,,,,,,
Nelson George,尼尔森·乔治,作家,,,,,,尼尔森·乔治,,,,,,,
花登筺,花登筺,影人,,,花登筺,,,花登筺,,,,,,,
梅本幸雄,梅本幸雄,漫画家,,,,,,梅本幸雄,,,,,,,
Jean-Michel Basquiat,让·米切尔·巴斯奎特,艺术家,,,,,,让·米切尔·巴斯奎特,,,,,,,
Vincent Gallo,文森·加洛,影人,,,,,,文森·加洛,,,,,,,
桑原茂一,桑原茂一,艺人,,,,,,桑原茂一,,,,,,,
MIKIKO,MIKIKO,艺术家,,,,,,MIKIKO,,,,,,,
真鍋大度,真锅大度,艺术家,,,,,,真锅大度,,,,,,,
Mark Dery,马克·德里,学者,,,,,,马克·德里,,,,,,,
Samuel Delany,塞缪尔·德兰尼,作家,,,,,,塞缪尔·德兰尼,,,,,,,
Greg Tate,格雷格·泰特,作家,,,,,,格雷格·泰特,,,,,,,
Tricia Rose,崔西亚·罗丝,学者,,,,,,崔西亚·罗丝,,,,,,,
Filippo Tommaso Marinetti,马里内蒂,艺术家,,,,,,马里内蒂,,,,,,,
Luigi Russolo,鲁索洛,艺术家,,,,,,鲁索洛,,,,,,,
Kodwo Eshun,库杜伍·艾顺,学者,,,,,,库杜伍·艾顺,,,,,,,
Grand Mixer D.ST.,混音大师D.ST.,乐人,,,,,,混音大师D.ST.,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
《The Chronic》,慢性,专辑,,,Dr. Dre,-,1993,好货色,Netflix翻译,,,,,慢性,多年以来的固定翻译，不用管准不准
《Documentary》,纪录片,专辑,,,Game,-,2005,纪录片,,,,,,,
《Funky Drummer》,绝妙鼓手,歌,,,James Brown,,1970,绝妙鼓手,,,,,,,
《Funky President》,荒唐总统,歌,,,James Brown,,1974,荒唐总统,,滑稽总统 ,这里，因为这首歌是批评总统的，所以funky应该理解成贬义的，滑稽，傻逼，胡闹的,,,,
《Get Up (I Feel Like Being a) Sex Machine》,启动，（就像个）性爱机器,歌,,,James Brown,,1970,,,启动，（就像个）性爱机器,,,,,
《I Know You Got Soul》,魂在心坎,歌,,,Bobby Byrd,,1971,,,灵魂残存几何 / 残存的良知,歌词给我的印象是，歌者用呼吁、反证的口吻，试图唤醒他人，你还有灵魂，不要妥协，etc,魂在心坎,,我知道你有两下子,个人意见，比较贴这歌的主题
《Impeach the President》,弹劾总统, 歌,,,The Hoenydrippers,,1973,弹劾总统,,,,,,,
《Apache》,阿帕奇, 歌,,,Incredible Bongo Band,,1973,阿帕奇,,,,,,,
《Planet Rock》,摇滚行星, 歌,,,Afrika Bambaataa,,1982,摇滚行星,"（All men, women, boys, and girls, hey our Planet Rock is superb. […] You're in a place where the nights are hot Where nature's children dance and set a chance On this Mother Earth, which is our rock. […] Rock rock to the Planet Rock, don't stop. […] 从上面几句歌词来分析，应该是rock修饰planet，所以“摇滚星球/行星”可能比较贴切。Netflix《Hip Hop Evolution》里是翻成星球）",,摇滚行星,,行星摇滚,摇滚星球,总觉得“行星”这么构词有点别扭
《Unity》,团结, 歌,,,Afrika Bambaataa,,1984,团结,,,,团结,我记得这是他和james brown合作的吧，直翻“团结”应该没问题,,
《Looking for the Perfect Beat: 1980-1985》,寻找完美节拍：1980-1985,专辑,,,Afrika Bambaataa,,2001,寻找完美节拍：1980-1985,beat在此应该是“伴奏”之类的意思，但是专辑名翻成“节拍”比较好听有气势,,,,,,
《Walk This Way》,行此路,歌,,,Aerosmith,,1975,行此路,,,不走寻常路/行此路,走这边/勇往直前,之前有人直接翻：走这条路,,
《Momma Miss America》,漂亮的美国小姐,歌,,,Paul McCartney,,1970,,,漂亮的美国小姐,momma是一个俗语，跟中国管人叫美女一个意思,,,,
《Mary Mary》,玛丽，玛丽,歌,,,The Monkees,,1967,玛丽，玛丽,,,,,,,
《Mary Mary》,玛丽，玛丽,歌,,,Run-DMC,,1988,玛丽，玛丽,,,,,,,
《Ultimate Breaks & Beats》,终极过门&伴奏,专辑,,,Various Artists,,1986-1991,终极过门&伴奏,或者：终极间奏&乐段,,霹雳和节奏不停 / 无尽的霹雳和节奏 / 霹雳不止，节奏不停,终极间奏&乐段,这套总计25张专门用来采样的经典bootleg合集是当时Hip hop音乐人必听的，相当于中国小学生练习中文时必定要熟读唐诗三百首。用朴素的口吻翻成【终极间奏&乐段】挺好,,
《The Adventures of Grandmaster Flash on the Wheels of Steel》,闪耀大师在钢轮上的冒险,歌,,,Grandmaster Flash,,1981,闪耀大师在钢轮上的冒险,照红房的意思，但是“闪电”改成了“闪耀”。或者：闪耀大师在唱盘上的冒险,闪耀大师在唱盘上的冒险,非常确定 wheels of steel 是指黑胶唱机（turntable）,闪电大师在钢轮上的冒险/闪电大师在唱盘上的冒险,如果真要求准确的话，估计就要加注释的。。。。。知道当时flash等dj都是用technics sl-1200来mixing，Wheels of Steel就是technics sl-1200在当时hip hop音乐人之间的俗称。,,
《Love is the Message》,爱的讯息,歌,,,MFSB,,1973,爱的讯息,,,,,,,
《Hustlers Convention》,混子大会,专辑,,,Lightnin' Rod,,1973,混混集会,,大盗集会 / 混子大会,,,,,
《Signifying Rapper》,意指的说唱歌手,歌,,,Schoolly D,,1988,意指的说唱歌手,出自《The Signifying Monkey》这本书，所以翻译沿用中文版书的标题：意指,虚有其表的说唱歌手,"The teasing, taunting, and insulting tradition within African American culture is referred to as “signifyin’”",,,,
《The revolution will not be televised》,革命不会被电视转播,歌,,,Gil Scott-Heron,,1970,革命不会被电视转播,,,,,,,
《The Show》,演出,影视剧,,,,,1995,演出,,,,,,,
《Wildstyle》,狂野风格,影视剧,,,,,1983,狂野风格,,,,,,,
《Beat Street》,热街小子,影视剧,,,,,1984,热街小子,,,,,,,
《Flashdance》,闪电舞,影视剧,,,,,1983,闪电舞,,,,,,,
《Love Is Strange》,奇怪的爱,歌,,,Mickey & Sylvia,,1957,奇怪的爱,,,,,,,
《Pillow Talk》,枕边细语,歌,,,Sylvia Robinson,,1973,枕边细语,,,,,,,
《Rapper's Delight》,说唱爽翻天,歌,,,The Sugarhill Gang,,1979,说唱爽翻天,Netflix翻译为“饶舌爽翻天”,嘻哈在此,这首歌相当于是最早的第一首嘻哈歌曲，当歌曲诞生之时，Rapper这个词和嘻哈音乐，对于观众都很陌生。同时歌名创意化地使用Delight这个词，因为其即可是动词，也可是名词。与其说表示开心，不如说他用这首歌做了一个宣告/statement，Rapper在这里）（这个我问了两个美国人，都表示这个意思）,饶舌歌手的喜悦,以前国内有过直译。或：说唱乐手的乐事,,
《Good Times》,好时光,歌,,,Chic,,1979,好时光,,,,,,,
《Heart of Glass》,玻璃心,歌,,,Blondie,,1979,玻璃心,,,,,,,
《Call Me》,等你电话,歌,,,Blondie,,1980,等你电话,,呼叫我,,,,,
《Rapture》,狂喜,歌,,,Blondie,,1981,狂喜,,,,,,,
《Yo! MTV Raps》,唷！MTV说唱,影视剧,,,Fab 5 Freddy,,1988,唷！MTV说唱,,,,,,YO!MTV说唱,换成中文的不管哪个唷都太别扭哈哈
《Genius of Love》,爱的天才,歌,,,Tom Tom Club,,1981,爱的天才,,,,,,,
《It’s Nasty》,这很低俗,歌,,,Grandmaster Flash,,1982,,,这很低俗,反讽当时白人觉得黑人音乐很低俗，但其实此歌歌词相当正面，证明黑人音乐不支白人理解的性啊什么的,,,,
《The Magnificent Seven》,七伟人,歌,,,The Clash,,1981,七伟人,,,,,,,
《Combat Rock》,战斗摇滚,专辑,,,The Clash,,1982,战斗摇滚,,,,,,,
《Beat Bop》,节奏咆勃,歌,,,"Rammellzee, K-Rob",,1983,节奏咆勃,,Beat Bop,两种猜测，1- 可能是“Bop your head to the beat”， 2- 可能是对爵士乐中的Bebop的的说话的旧瓶装新酒。,,,,
《咲坂と桃内のご機嫌1·2·3》,咲坂和桃内向您问好1·2·3,歌,,,スネークマンショー,,1981,咲坂和桃内向您问好1·2·3,,,,,,,
《増殖》,增殖,专辑,,,YMO,,1980,增殖,,,,,,,
《邦子のかわい子ぶりっ子》,邦子的装可爱的孩子,歌,,,山田邦子,,1981,邦子的装可爱的孩子,,,,,,,
《哲学しよう》,哲学起来,歌,,,山田邦子,,1983,哲学起来,,,,,,,
《俺ら東京さ行ぐだ》,俺要去东京,歌,,,吉幾三,,1984,俺要去东京,,,,,,,
